what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1358389678624
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1358389679003
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1358389679747
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1358389681739
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1358389682191
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1358389682657
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1358389683451
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358389688085
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1358389696250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358389707507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358389708674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358389708833
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1358389712173
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358389719681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358389725375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358389731692
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358389762409
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358389763318
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358389763795
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358389767639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358389768659
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1358389768674
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358389776787
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1358389780115
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358389801832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358389871349
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358389871363
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1358389881989
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1358389883223
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358389886182
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358389888310
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358389889213
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358389889687
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1358389897253
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358389897454
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1358389904337
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1358389906006
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358389907333
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358389913292
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358389914587
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1358389924764
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358389930563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358389940082
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358389949282
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1358389950180
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358389950348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358389958068
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358389968692
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358390027489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358390042812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358390042928
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358390052723
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358390061135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358390061353
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358390062637
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1358390067975
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358390072890
